tourney_name,surface,player,seed,ace,df,svperc,firstwon,secondwon,tour,result
Fed Cup WG R1: CZE vs ROU,Hard,Simona Halep,NA,4,7,57.42574257425743,60.3448275862069,44.18604651162791,WTA,win
Fed Cup WG F: FRA vs AUS,Hard,Kristina Mladenovic,NA,1,4,42.857142857142854,83.33333333333333,54.166666666666664,WTA,win
Fed Cup WG F: FRA vs AUS,Hard,Ashleigh Barty,NA,8,1,63.63636363636363,90.47619047619048,50,WTA,win
Fed Cup WG F: FRA vs AUS,Hard,Kristina Mladenovic,NA,4,5,57.142857142857146,67.85714285714286,52.38095238095238,WTA,win
Fed Cup WG F: FRA vs AUS,Hard,Ajla Tomljanovic,NA,7,1,52.30769230769231,67.6470588235294,77.41935483870968,WTA,win
Fed Cup WG R1: FRA vs BEL,Hard,Caroline Garcia,NA,1,3,67.05882352941177,68.42105263157895,75,WTA,win
Fed Cup WG R1: FRA vs BEL,Hard,Caroline Garcia,NA,2,0,66.66666666666667,77.77777777777777,55.55555555555556,WTA,win
Fed Cup WG R1: GER vs BLR,Hard,Aryna Sabalenka,NA,8,2,66.07142857142857,72.97297297297297,52.63157894736842,WTA,win
Fed Cup WG R1: GER vs BLR,Hard,Aryna Sabalenka,NA,3,5,55,63.63636363636363,62.96296296296296,WTA,win
Fed Cup WG SF: ROU vs FRA,Clay,Simona Halep,NA,3,1,76.47058823529412,76.92307692307692,16.666666666666668,WTA,win
Fed Cup WG SF: ROU vs FRA,Clay,Caroline Garcia,NA,2,0,62.96296296296296,58.8235294117647,75,WTA,win
Fed Cup WG SF: ROU vs FRA,Clay,Simona Halep,NA,2,3,69.10569105691057,62.35294117647059,50,WTA,win
Fed Cup WG R1: USA vs SUI,Hard,Sofia Kenin,NA,0,4,66.25,67.9245283018868,44.44444444444444,WTA,win
Fed Cup WG2 R1: SUI vs ITA,Hard,Belinda Bencic,NA,5,6,61.666666666666664,70.27027027027027,30.434782608695652,WTA,win
Fed Cup WG2 R1: SUI vs ITA,Hard,Belinda Bencic,NA,3,4,58,82.75862068965517,52.38095238095238,WTA,win
Fed Cup WG2 R1: SVK vs LAT,Hard,Jelena Ostapenko,NA,3,10,52.72727272727273,68.96551724137932,53.84615384615385,WTA,win
Fed Cup WG2 R1: SVK vs LAT,Hard,Anastasija Sevastova,NA,1,2,52,61.53846153846154,54.166666666666664,WTA,win
Fed Cup WG2 R1: SVK vs LAT,Hard,Anastasija Sevastova,NA,3,0,68.18181818181819,66.66666666666667,64.28571428571429,WTA,win
Fed Cup WG2 R1: GBR vs KAZ,Hard,Johanna Konta,NA,4,2,61.79775280898876,63.63636363636363,55.88235294117647,WTA,win
Fed Cup WG2 R1: GBR vs KAZ,Hard,Yulia Putintseva,NA,3,2,74.15730337078652,65.15151515151516,43.47826086956522,WTA,win
Fed Cup WG2 R1: GBR vs KAZ,Hard,Johanna Konta,NA,0,1,61.333333333333336,67.3913043478261,62.06896551724138,WTA,win
Zhuhai,Hard,Aryna Sabalenka,4,3,2,54.166666666666664,80.76923076923077,68.18181818181819,WTA,win
Zhuhai,Hard,Kiki Bertens,1,3,7,60.78431372549019,66.12903225806451,35,WTA,win
Zhuhai,Hard,Aryna Sabalenka,4,1,7,58.53658536585366,58.333333333333336,61.76470588235294,WTA,win
Zhuhai,Hard,Kiki Bertens,1,8,8,54.285714285714285,73.6842105263158,50,WTA,win
Zhuhai,Hard,Kiki Bertens,1,2,3,50,69.23076923076923,57.69230769230769,WTA,win
Zhuhai,Hard,Dayana Yastremska,10,5,3,68.4931506849315,82,39.130434782608695,WTA,win
Zhuhai,Hard,Sofia Kenin,2,4,2,61.53846153846154,84.375,65,WTA,win
Zhuhai,Hard,Saisai Zheng,12,0,4,50.81967213114754,74.19354838709677,36.666666666666664,WTA,win
Zhuhai,Hard,Petra Martic,5,3,1,66.66666666666667,73.6842105263158,36.8421052631579,WTA,win
Zhuhai,Hard,Aryna Sabalenka,4,6,10,58.87850467289719,73.01587301587301,43.18181818181818,WTA,win
Zhuhai,Hard,Aryna Sabalenka,4,6,8,45.90163934426229,85.71428571428571,60.60606060606061,WTA,win
Zhuhai,Hard,Elise Mertens,6,2,8,55.55555555555556,72.5,40.625,WTA,win
Shenzhen Finals,Hard,Ashleigh Barty,1,NA,NA,NA,NA,NA,WTA,win
Shenzhen Finals,Hard,Ashleigh Barty,1,11,1,67.02127659574468,77.77777777777777,48.38709677419355,WTA,win
Shenzhen Finals,Hard,Elina Svitolina,8,16,3,61.333333333333336,76.08695652173913,55.172413793103445,WTA,win
Shenzhen Finals,Hard,Kiki Bertens,NA,6,6,56,64.28571428571429,38.63636363636363,WTA,win
Shenzhen Finals,Hard,Ashleigh Barty,1,6,2,61.971830985915496,79.54545454545455,40.74074074074074,WTA,win
Shenzhen Finals,Hard,Ashleigh Barty,1,10,6,59.30232558139535,82.3529411764706,51.42857142857143,WTA,win
Shenzhen Finals,Hard,Belinda Bencic,7,1,2,57.5,69.56521739130434,58.8235294117647,WTA,win
Shenzhen Finals,Hard,Belinda Bencic,7,5,7,65.4320987654321,58.490566037735846,42.857142857142854,WTA,win
Shenzhen Finals,Hard,Karolina Pliskova,2,3,5,65.27777777777777,65.95744680851064,36,WTA,win
Shenzhen Finals,Hard,Elina Svitolina,8,2,1,65.82278481012658,61.53846153846154,59.25925925925926,WTA,win
Shenzhen Finals,Hard,Elina Svitolina,8,11,4,57.83132530120482,68.75,51.42857142857143,WTA,win
Shenzhen Finals,Hard,Elina Svitolina,8,4,1,53.125,76.47058823529412,43.333333333333336,WTA,win
Shenzhen Finals,Hard,Karolina Pliskova,2,NA,NA,NA,NA,NA,WTA,win
Shenzhen Finals,Hard,Simona Halep,5,NA,NA,NA,NA,NA,WTA,win
Shenzhen Finals,Hard,Naomi Osaka,3,NA,NA,NA,NA,NA,WTA,win
Australian Open,Hard,Simona Halep,1,4,0,73.80952380952381,74.19354838709677,59.09090909090909,WTA,win
Australian Open,Hard,Sofia Kenin,NA,2,1,72.63157894736842,65.21739130434783,42.30769230769231,WTA,win
Australian Open,Hard,Dayana Yastremska,NA,5,0,64.91228070175438,75.67567567567568,60,WTA,win
Australian Open,Hard,Johanna Konta,NA,16,2,67.79661016949153,67.5,52.63157894736842,WTA,win
Australian Open,Hard,Karolina Pliskova,7,4,1,64.81481481481481,71.42857142857143,68.42105263157895,WTA,win
Australian Open,Hard,Naomi Osaka,4,6,1,60.97560975609756,96,62.5,WTA,win
Australian Open,Hard,Su Wei Hsieh,28,2,3,66.66666666666667,76.3157894736842,31.57894736842105,WTA,win
Australian Open,Hard,Anastasija Sevastova,13,4,2,64.70588235294117,66.66666666666667,72.22222222222223,WTA,win
Australian Open,Hard,Elise Mertens,12,4,2,67.6470588235294,67.3913043478261,59.09090909090909,WTA,win
Australian Open,Hard,Elina Svitolina,6,9,2,62.264150943396224,66.66666666666667,55,WTA,win
Australian Open,Hard,Petra Kvitova,8,8,4,60,76.66666666666667,55,WTA,win
Australian Open,Hard,Belinda Bencic,NA,1,5,58.064516129032256,70.37037037037037,48.717948717948715,WTA,win
Australian Open,Hard,Yulia Putintseva,NA,2,4,78.125,62,50,WTA,win
Australian Open,Hard,Aryna Sabalenka,11,5,0,66.66666666666667,85.29411764705883,52.94117647058823,WTA,win
Australian Open,Hard,Ashleigh Barty,15,4,0,65.21739130434783,76.66666666666667,37.5,WTA,win
Australian Open,Hard,Maria Sakkari,NA,11,3,54.54545454545455,72.22222222222223,63.333333333333336,WTA,win
Australian Open,Hard,Petra Martic,31,1,3,75,86.66666666666667,50,WTA,win
Australian Open,Hard,Kiki Bertens,9,10,0,58.8235294117647,80,66.66666666666667,WTA,win
Australian Open,Hard,Caroline Garcia,19,7,0,69.56521739130434,71.875,64.28571428571429,WTA,win
Australian Open,Hard,Donna Vekic,29,4,6,61.016949152542374,80.55555555555556,30.434782608695652,WTA,win
Australian Open,Hard,Simona Halep,1,9,1,62.92134831460674,75,54.54545454545455,WTA,win
Australian Open,Hard,Dayana Yastremska,NA,4,4,73.17073170731707,65,59.09090909090909,WTA,win
Australian Open,Hard,Karolina Pliskova,7,7,0,67.0886075949367,77.35849056603773,42.30769230769231,WTA,win
Australian Open,Hard,Naomi Osaka,4,6,1,66,78.78787878787878,47.05882352941177,WTA,win
Australian Open,Hard,Su Wei Hsieh,28,1,1,71.21212121212122,68.08510638297872,47.36842105263158,WTA,win
Australian Open,Hard,Anastasija Sevastova,13,3,0,68.42105263157895,64.61538461538461,46.666666666666664,WTA,win
Australian Open,Hard,Elise Mertens,12,2,4,63.46153846153846,78.78787878787878,42.10526315789474,WTA,win
Australian Open,Hard,Elina Svitolina,6,8,1,63.63636363636363,74.28571428571429,75,WTA,win
Australian Open,Hard,Petra Kvitova,8,3,5,59.64912280701754,73.52941176470588,43.47826086956522,WTA,win
Australian Open,Hard,Belinda Bencic,NA,3,0,66.66666666666667,54.83870967741935,51.61290322580645,WTA,win
Australian Open,Hard,Aryna Sabalenka,11,7,1,67.24137931034483,79.48717948717949,52.63157894736842,WTA,win
Australian Open,Hard,Ashleigh Barty,15,7,0,60.869565217391305,82.14285714285714,61.111111111111114,WTA,win
Australian Open,Hard,Maria Sakkari,NA,5,2,74.46808510638297,80,41.666666666666664,WTA,win
Australian Open,Hard,Petra Martic,31,1,0,63.63636363636363,59.523809523809526,54.166666666666664,WTA,win
Australian Open,Hard,Caroline Garcia,19,5,1,74,75.67567567567568,46.15384615384615,WTA,win
Australian Open,Hard,Simona Halep,1,2,2,69.23076923076923,66.66666666666667,62.5,WTA,win
Australian Open,Hard,Karolina Pliskova,7,9,1,74.32432432432432,63.63636363636363,68.42105263157895,WTA,win
Australian Open,Hard,Naomi Osaka,4,8,1,61.386138613861384,62.903225806451616,51.282051282051285,WTA,win
Australian Open,Hard,Anastasija Sevastova,13,2,0,59.183673469387756,82.75862068965517,55,WTA,win
Australian Open,Hard,Elina Svitolina,6,7,2,62.745098039215684,62.5,50,WTA,win
Australian Open,Hard,Petra Kvitova,8,7,1,71.42857142857143,85.71428571428571,64.28571428571429,WTA,win
Australian Open,Hard,Ashleigh Barty,15,13,0,68.42105263157895,76.92307692307692,55.55555555555556,WTA,win
Australian Open,Hard,Karolina Pliskova,7,5,0,77.77777777777777,82.14285714285714,75,WTA,win
Australian Open,Hard,Naomi Osaka,4,7,1,64.42307692307692,70.14925373134328,51.351351351351354,WTA,win
Australian Open,Hard,Elina Svitolina,6,3,4,63.095238095238095,69.81132075471699,38.70967741935484,WTA,win
Australian Open,Hard,Petra Kvitova,8,1,1,85.71428571428571,83.33333333333333,60,WTA,win
Australian Open,Hard,Ashleigh Barty,15,6,4,60.22727272727273,67.9245283018868,60,WTA,win
Australian Open,Hard,Karolina Pliskova,7,9,0,78.57142857142857,67.53246753246754,38.095238095238095,WTA,win
Australian Open,Hard,Naomi Osaka,4,8,0,61.111111111111114,63.63636363636363,52.38095238095238,WTA,win
Australian Open,Hard,Petra Kvitova,8,3,2,68.25396825396825,74.4186046511628,50,WTA,win
Australian Open,Hard,Naomi Osaka,4,15,3,57.608695652173914,81.13207547169812,41.02564102564103,WTA,win
Australian Open,Hard,Petra Kvitova,8,4,4,60,75,54.166666666666664,WTA,win
Australian Open,Hard,Naomi Osaka,4,9,4,61.81818181818182,76.47058823529412,45.23809523809524,WTA,win
Roland Garros,Clay,Naomi Osaka,1,10,3,62.19512195121951,68.62745098039215,29.032258064516128,WTA,win
Roland Garros,Clay,Maria Sakkari,29,9,6,55.76923076923077,82.75862068965517,34.78260869565217,WTA,win
Roland Garros,Clay,Caroline Garcia,24,1,2,68,79.41176470588235,50,WTA,win
Roland Garros,Clay,Sofia Kenin,NA,4,1,74.11764705882354,58.73015873015873,40.90909090909091,WTA,win
Roland Garros,Clay,Su Wei Hsieh,25,0,4,63.1578947368421,52.083333333333336,42.857142857142854,WTA,win
Roland Garros,Clay,Ashleigh Barty,8,3,2,65.45454545454545,58.333333333333336,47.36842105263158,WTA,win
Roland Garros,Clay,Simona Halep,3,3,3,71.25,57.89473684210526,52.17391304347826,WTA,win
Roland Garros,Clay,Aryna Sabalenka,11,5,8,66.66666666666667,69.23076923076923,46.15384615384615,WTA,win
Roland Garros,Clay,Ekaterina Alexandrova,NA,2,4,53.333333333333336,78.125,46.42857142857143,WTA,win
Roland Garros,Clay,Elina Svitolina,9,0,3,50,62.06896551724138,41.37931034482759,WTA,win
Roland Garros,Clay,Belinda Bencic,15,2,1,62.7906976744186,62.96296296296296,68.75,WTA,win
Roland Garros,Clay,Donna Vekic,23,4,0,59.183673469387756,82.75862068965517,70,WTA,win
Roland Garros,Clay,Johanna Konta,26,2,0,63.793103448275865,70.27027027027027,47.61904761904762,WTA,win
Roland Garros,Clay,Kiki Bertens,4,1,6,66.07142857142857,91.89189189189189,42.10526315789474,WTA,win
Roland Garros,Clay,Elise Mertens,20,1,5,61.44578313253012,56.86274509803921,50,WTA,win
Roland Garros,Clay,Anastasija Sevastova,12,0,0,62,77.41935483870968,26.31578947368421,WTA,win
Roland Garros,Clay,Veronika Kudermetova,NA,2,3,51.13636363636363,66.66666666666667,41.86046511627907,WTA,win
Roland Garros,Clay,Petra Martic,31,1,0,64.91228070175438,67.56756756756756,35,WTA,win
Roland Garros,Clay,Kristina Mladenovic,NA,1,1,57.142857142857146,58.333333333333336,62.96296296296296,WTA,win
Roland Garros,Clay,Karolina Pliskova,2,1,6,62.71186440677966,64.86486486486487,40.90909090909091,WTA,win
Roland Garros,Clay,Naomi Osaka,1,6,1,62.72727272727273,60.869565217391305,56.09756097560975,WTA,win
Roland Garros,Clay,Sofia Kenin,NA,NA,NA,NA,NA,NA,WTA,win
Roland Garros,Clay,Ashleigh Barty,8,4,2,52.30769230769231,73.52941176470588,54.83870967741935,WTA,win
Roland Garros,Clay,Simona Halep,3,4,4,73.73737373737374,61.64383561643836,34.61538461538461,WTA,win
Roland Garros,Clay,Ekaterina Alexandrova,NA,10,5,48.19277108433735,72.5,60.46511627906977,WTA,win
Roland Garros,Clay,Elina Svitolina,9,NA,NA,NA,NA,NA,WTA,win
Roland Garros,Clay,Belinda Bencic,15,0,6,64.76190476190476,61.76470588235294,32.432432432432435,WTA,win
Roland Garros,Clay,Donna Vekic,23,0,6,63.38028169014085,66.66666666666667,50,WTA,win
Roland Garros,Clay,Johanna Konta,26,5,1,74.44444444444444,58.208955223880594,60.869565217391305,WTA,win
Roland Garros,Clay,Elise Mertens,20,2,2,57.5,86.95652173913044,70.58823529411765,WTA,win
Roland Garros,Clay,Anastasija Sevastova,12,4,0,62.264150943396224,78.78787878787878,65,WTA,win
Roland Garros,Clay,Veronika Kudermetova,NA,2,2,58.62068965517241,61.76470588235294,54.166666666666664,WTA,win
Roland Garros,Clay,Petra Martic,31,3,0,70.45454545454545,64.51612903225806,84.61538461538461,WTA,win
Roland Garros,Clay,Karolina Pliskova,2,8,1,76.74418604651163,81.81818181818181,60,WTA,win
Roland Garros,Clay,Sofia Kenin,NA,0,1,64.1025641025641,72,50,WTA,win
Roland Garros,Clay,Ashleigh Barty,8,8,3,58,79.3103448275862,57.142857142857146,WTA,win
Roland Garros,Clay,Simona Halep,3,0,3,74.28571428571429,61.53846153846154,33.333333333333336,WTA,win
Roland Garros,Clay,Donna Vekic,23,8,4,64.44444444444444,75.86206896551724,37.5,WTA,win
Roland Garros,Clay,Johanna Konta,26,5,0,60.97560975609756,80,62.5,WTA,win
Roland Garros,Clay,Anastasija Sevastova,12,4,1,58.169934640522875,62.92134831460674,56.25,WTA,win
Roland Garros,Clay,Petra Martic,31,1,4,68.25396825396825,65.11627906976744,50,WTA,win
Roland Garros,Clay,Ashleigh Barty,8,11,3,64.38356164383562,76.59574468085107,50,WTA,win
Roland Garros,Clay,Simona Halep,3,0,0,75.75757575757575,84,25,WTA,win
Roland Garros,Clay,Johanna Konta,26,7,3,69.6969696969697,69.56521739130434,40,WTA,win
Roland Garros,Clay,Petra Martic,31,1,8,65.9090909090909,65.51724137931035,43.333333333333336,WTA,win
Roland Garros,Clay,Ashleigh Barty,8,4,1,60,80.55555555555556,62.5,WTA,win
Roland Garros,Clay,Johanna Konta,26,6,2,70.37037037037037,86.84210526315789,50,WTA,win
Roland Garros,Clay,Ashleigh Barty,8,5,3,52.68817204301075,69.38775510204081,45.45454545454545,WTA,win
Roland Garros,Clay,Ashleigh Barty,8,3,1,68.51851851851852,62.16216216216216,76.47058823529412,WTA,win
Wimbledon,Grass,Ashleigh Barty,1,1,4,55.76923076923077,86.20689655172414,56.52173913043478,WTA,win
Wimbledon,Grass,Belinda Bencic,13,2,1,71.15384615384616,75.67567567567568,53.333333333333336,WTA,win
Wimbledon,Grass,Kiki Bertens,4,2,2,52.83018867924528,67.85714285714286,68,WTA,win
Wimbledon,Grass,Elise Mertens,21,4,3,67.5,70.37037037037037,69.23076923076923,WTA,win
Wimbledon,Grass,Johanna Konta,19,6,1,61.29032258064516,78.94736842105263,58.333333333333336,WTA,win
Wimbledon,Grass,Kristina Mladenovic,NA,5,11,54.83870967741935,76.47058823529412,57.142857142857146,WTA,win
Wimbledon,Grass,Petra Kvitova,6,0,1,72.34042553191489,67.6470588235294,61.53846153846154,WTA,win
Wimbledon,Grass,Elina Svitolina,8,1,1,66.07142857142857,72.97297297297297,52.63157894736842,WTA,win
Wimbledon,Grass,Maria Sakkari,31,4,1,57.74647887323944,75.60975609756098,53.333333333333336,WTA,win
Wimbledon,Grass,Petra Martic,24,3,0,70.11494252873563,65.57377049180327,65.38461538461539,WTA,win
Wimbledon,Grass,Anastasija Sevastova,12,7,1,62.857142857142854,63.63636363636363,46.15384615384615,WTA,win
Wimbledon,Grass,Su Wei Hsieh,28,1,0,64.44444444444444,65.51724137931035,50,WTA,win
Wimbledon,Grass,Karolina Pliskova,3,6,2,63.793103448275865,81.08108108108108,47.61904761904762,WTA,win
Wimbledon,Grass,Simona Halep,7,3,0,63.41463414634146,57.69230769230769,70,WTA,win
Wimbledon,Grass,Ajla Tomljanovic,NA,3,3,46.808510638297875,68.18181818181819,56,WTA,win
Wimbledon,Grass,Veronika Kudermetova,NA,7,6,57.142857142857146,69.44444444444444,51.851851851851855,WTA,win
Wimbledon,Grass,Sofia Kenin,27,1,0,76,78.94736842105263,50,WTA,win
Wimbledon,Grass,Dayana Yastremska,NA,5,5,62.71186440677966,62.16216216216216,40.90909090909091,WTA,win
Wimbledon,Grass,Yulia Putintseva,NA,3,3,66.66666666666667,66,52,WTA,win
Wimbledon,Grass,Ashleigh Barty,1,2,0,55.81395348837209,79.16666666666667,57.89473684210526,WTA,win
Wimbledon,Grass,Belinda Bencic,13,3,4,61.666666666666664,64.86486486486487,56.52173913043478,WTA,win
Wimbledon,Grass,Kiki Bertens,4,3,5,53.40909090909091,65.95744680851064,58.53658536585366,WTA,win
Wimbledon,Grass,Elise Mertens,21,3,5,54.83870967741935,70.58823529411765,50,WTA,win
Wimbledon,Grass,Johanna Konta,19,7,2,76.47058823529412,79.48717948717949,75,WTA,win
Wimbledon,Grass,Petra Kvitova,6,8,3,61.81818181818182,73.52941176470588,61.904761904761905,WTA,win
Wimbledon,Grass,Elina Svitolina,8,2,0,78.02197802197803,63.38028169014085,40,WTA,win
Wimbledon,Grass,Maria Sakkari,31,4,2,60.37735849056604,78.125,47.61904761904762,WTA,win
Wimbledon,Grass,Petra Martic,24,1,3,60.57692307692308,68.25396825396825,48.78048780487805,WTA,win
Wimbledon,Grass,Su Wei Hsieh,28,0,2,75.86206896551724,72.72727272727273,64.28571428571429,WTA,win
Wimbledon,Grass,Karolina Pliskova,3,9,0,65.85365853658537,74.07407407407408,71.42857142857143,WTA,win
Wimbledon,Grass,Simona Halep,7,1,3,68.42105263157895,53.84615384615385,45.833333333333336,WTA,win
Wimbledon,Grass,Dayana Yastremska,NA,10,6,63.55140186915888,63.23529411764706,53.84615384615385,WTA,win
Wimbledon,Grass,Ashleigh Barty,1,11,2,64.1025641025641,92,50,WTA,win
Wimbledon,Grass,Elise Mertens,21,6,3,69.71830985915493,67.67676767676768,48.83720930232558,WTA,win
Wimbledon,Grass,Johanna Konta,19,7,1,68.96551724137932,65,66.66666666666667,WTA,win
Wimbledon,Grass,Petra Kvitova,6,4,0,75,80.55555555555556,58.333333333333336,WTA,win
Wimbledon,Grass,Elina Svitolina,8,1,2,68,66.17647058823529,40.625,WTA,win
Wimbledon,Grass,Petra Martic,24,3,2,62.33766233766234,70.83333333333333,65.51724137931035,WTA,win
Wimbledon,Grass,Karolina Pliskova,3,14,4,74.02597402597402,73.6842105263158,45,WTA,win
Wimbledon,Grass,Simona Halep,7,1,0,58.8235294117647,66.66666666666667,66.66666666666667,WTA,win
Wimbledon,Grass,Dayana Yastremska,NA,6,9,57.77777777777778,71.15384615384616,39.473684210526315,WTA,win
Wimbledon,Grass,Johanna Konta,19,5,4,66.35514018691589,73.2394366197183,41.666666666666664,WTA,win
Wimbledon,Grass,Elina Svitolina,8,3,5,62.16216216216216,82.6086956521739,32.142857142857146,WTA,win
Wimbledon,Grass,Simona Halep,7,2,5,56.89655172413793,75.75757575757575,44,WTA,win
Wimbledon,Grass,Elina Svitolina,8,2,1,55.223880597014926,59.45945945945946,46.666666666666664,WTA,win
Wimbledon,Grass,Simona Halep,7,1,1,76.3157894736842,72.41379310344827,44.44444444444444,WTA,win
Wimbledon,Grass,Simona Halep,7,1,3,70,73.80952380952381,44.44444444444444,WTA,win
Wimbledon,Grass,Simona Halep,7,1,0,76.08695652173913,82.85714285714286,45.45454545454545,WTA,win
Us Open,Hard,Naomi Osaka,1,8,1,56.52173913043478,67.6923076923077,52,WTA,win
Us Open,Hard,Ajla Tomljanovic,NA,2,5,57.142857142857146,64.58333333333333,30.555555555555557,WTA,win
Us Open,Hard,Belinda Bencic,13,5,2,52.94117647058823,74.07407407407408,66.66666666666667,WTA,win
Us Open,Hard,Aryna Sabalenka,9,8,13,66.99029126213593,66.66666666666667,41.1764705882353,WTA,win
Us Open,Hard,Yulia Putintseva,NA,4,4,63.768115942028984,56.81818181818182,32,WTA,win
Us Open,Hard,Donna Vekic,23,4,6,47.77777777777778,74.4186046511628,40.42553191489362,WTA,win
Us Open,Hard,Kiki Bertens,7,3,2,60,86.66666666666667,55,WTA,win
Us Open,Hard,Simona Halep,4,1,2,68,50.98039215686274,58.333333333333336,WTA,win
Us Open,Hard,Jelena Ostapenko,NA,3,12,62.33766233766234,68.75,27.586206896551722,WTA,win
Us Open,Hard,Elise Mertens,25,3,1,68.08510638297872,71.875,66.66666666666667,WTA,win
Us Open,Hard,Petra Kvitova,6,4,2,63.1578947368421,72.22222222222223,57.142857142857146,WTA,win
Us Open,Hard,Elina Svitolina,5,2,0,62.264150943396224,63.63636363636363,55,WTA,win
Us Open,Hard,Dayana Yastremska,32,3,3,53.40909090909091,57.4468085106383,58.53658536585366,WTA,win
Us Open,Hard,Sofia Kenin,20,3,5,58.8235294117647,80,60.714285714285715,WTA,win
Us Open,Hard,Johanna Konta,16,2,2,57.74647887323944,70.73170731707317,66.66666666666667,WTA,win
Us Open,Hard,Ekaterina Alexandrova,NA,5,4,51.61290322580645,68.75,56.666666666666664,WTA,win
Us Open,Hard,Karolina Pliskova,3,4,2,61.64383561643836,60,46.42857142857143,WTA,win
Us Open,Hard,Su Wei Hsieh,29,1,4,71.55963302752293,50,35.483870967741936,WTA,win
Us Open,Hard,Petra Martic,22,5,1,58.108108108108105,79.06976744186046,54.83870967741935,WTA,win
Us Open,Hard,Anastasija Sevastova,12,3,1,68.51851851851852,67.56756756756756,58.8235294117647,WTA,win
Us Open,Hard,Kristina Mladenovic,NA,3,7,57.94392523364486,64.51612903225806,37.77777777777778,WTA,win
Us Open,Hard,Maria Sakkari,30,4,3,62.22222222222222,75,58.8235294117647,WTA,win
